      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,
                  65,           -1.221369,            0.911305,           -1.443061,            6.614398,          -14.109501,            8.271295,            9.240749,           -8.835678,           -7.765888,           -6.846524,            2.939163,           14.349864,          -10.822174,           -4.133468,           25.396908,           12.201051,          -19.152643,           -8.968931,            5.476493,          -14.999753,           -4.101333,            0.103516,            1.313198,           -2.632393,
                  66,           -1.134759,            8.377784,            1.921112,            6.199478,           -5.639237,           11.476880,           15.435227,          -10.374686,           -8.661335,           -7.441473,            5.138135,           13.247724,           -7.647211,           -3.681032,           16.804893,           -4.513582,            1.840762,           14.937326,            1.157823,           -2.828901,            7.192831,           -0.456002,           -1.739746,           -3.873544,
                  67,            0.012561,            8.192820,           -7.069953,            7.233575,           -6.008540,            3.152287,            5.256872,            4.605951,           -5.600936,           -7.888604,            7.505970,           11.884452,          -12.591788,           13.945621,            6.486577,            2.610992,           -6.201250,            2.767707,            2.889003,           -4.592807,           -2.990162,            0.080368,           -3.015283,           -0.652385,
                  68,            1.159406,            9.879090,          -10.075359,            8.962516,           -4.847469,           -0.749160,           12.955752,            2.292595,          -22.134510,           -4.518421,            3.271312,            8.713488,            0.589578,           -5.892861,            2.461220,            4.380873,           -2.063152,           -9.932562,            2.541382,           -1.861437,           -1.248365,           -1.555228,           -3.043401,            2.529631,
                  69,           -0.039325,           10.869281,           -4.488334,            7.222277,           -3.069364,            5.039899,           13.630970,            0.963325,          -20.262068,           -7.712955,            4.712663,           14.469304,          -15.512489,            7.563071,           18.704118,           -1.052248,           -2.912291,           13.347705,            0.934124,           -0.048879,            4.157297,           -1.035775,           -3.434835,           -0.005633,
                  70,           -2.746963,            4.342857,            0.048086,            4.788193,          -10.016730,            9.576889,           11.883785,           -8.672205,          -10.791834,           -8.264753,            8.611180,           10.239783,           -9.447406,            0.667615,           16.124005,           -0.852493,           -1.063285,            5.247642,            4.427927,          -11.924297,           -3.469083,            0.632238,           -0.288122,           -3.045878,
                  71,           -1.450545,           12.036006,           -3.414247,            6.052883,           -2.397672,            6.238448,            4.078811,            7.833008,           -3.399371,           -2.570904,           -1.045890,            9.949161,           -3.662993,           -1.351518,            6.816058,            6.732981,           -8.666548,           -5.768686,           -0.282211,            0.349022,            5.084199,            0.383261,           -4.494202,           -1.931982,
                  72,           -0.309291,            8.083930,           -6.401493,            7.206133,           -6.337958,            3.269888,            9.544535,           -6.796621,            1.008705,           -8.628961,            7.420613,           13.092321,           -7.829026,           -4.917561,           19.228698,           -0.199359,            4.209356,           -5.988208,            2.925001,           -5.843793,           -0.201230,           -0.383094,           -1.805515,           -1.190243,
                  73,           -1.035942,           11.670059,           -4.467188,            6.509679,           -2.545205,            4.736986,            6.019143,            8.386218,          -13.550894,           -2.642215,            3.011638,            4.905410,           -0.602721,            7.529625,          -10.045725,            7.616579,           -5.203519,          -12.443336,            0.329720,           -0.364355,            3.265168,           -0.000559,           -4.371513,           -0.558693,
                  74,            0.589352,            5.147197,           -4.810602,            7.939618,           -8.927209,            4.652868,           13.239375,           -8.994457,          -10.037075,           -8.902258,            7.302658,           14.664529,          -11.414129,            3.113680,           18.606878,            6.719201,           -5.875829,          -10.951184,            3.966215,           -7.616854,           -1.134506,           -0.939857,           -0.561545,           -0.968528,
                  75,           -3.558454,            9.490734,            3.365234,            3.711532,           -4.413041,           12.908145,            7.971189,           -4.138492,           -0.645815,           -5.691923,            1.866514,           13.748987,           -8.638990,           -0.740157,           17.040027,            6.465507,          -10.350059,           -4.999640,            0.982573,           -4.926422,            4.683306,            1.251372,           -2.768790,           -5.239847,
                  76,            0.950581,            7.402230,           -0.183413,            8.121774,           -6.503253,            9.613785,           13.606955,           -2.203030,          -12.165715,           -8.394987,            9.186555,           10.098981,          -12.815931,           13.585319,            7.164160,            7.272160,           -7.638895,          -13.298820,            0.877497,           -0.361503,            7.753444,           -1.144718,           -2.050280,           -2.727949,
                  77,           -3.039617,           10.364577,           -1.904934,            4.191883,           -3.743511,            7.922508,            5.078115,            4.930585,           -8.658122,           -5.234138,            7.228132,            5.038689,            1.145484,            0.361611,           -8.517170,            8.034494,           -6.250084,          -14.078143,            2.342165,           -4.925614,           -3.439658,            1.466372,           -4.068304,           -2.532649,
                  78,            0.081714,            8.326893,           -2.439170,            7.737355,           -6.363270,            7.232277,            4.677661,            5.922935,           -5.123183,           -7.835978,            6.275057,           12.958128,          -12.428038,            4.641168,           19.952252,            0.890376,           -0.808514,           -0.789652,            1.063440,           -1.984396,            4.205680,           -0.165251,           -2.909542,           -2.340641,
                  79,            0.953960,            6.398892,           -8.860975,            8.522463,           -8.030871,            0.661964,            6.734372,            2.327866,           -4.926925,           -8.324534,            8.783968,           11.778432,          -13.076985,           19.602170,            1.826637,            3.326268,           -6.570115,           -0.350533,            4.276027,           -6.491743,           -5.540042,           -0.429265,           -2.124695,            0.145010,
                  80,            1.953798,            7.238717,           -6.982367,            9.344312,           -6.756610,            2.270759,            7.792124,            8.065781,          -14.415840,           -5.609605,            1.460091,           14.010666,           -9.719146,            1.438340,           15.523055,           -0.181084,            0.244132,           -1.054442,            2.698098,           -2.107084,           -0.815584,           -1.049578,           -2.878312,            0.322718,
                  81,           -1.936461,            7.910739,           -5.289212,            5.189278,           -5.966373,            4.461748,           10.142239,           -4.839106,           -6.474178,           -6.084994,            5.331693,           10.436244,           -7.952370,            6.164166,            8.835809,           -2.094358,            2.606597,            0.455522,            3.676659,           -8.332546,           -3.989187,            0.399493,           -2.065643,           -1.130759,
                  82,            0.338934,            3.638598,           -1.014916,            7.964436,          -10.893631,            8.526124,            4.670880,            5.911035,           -8.072174,           -5.724116,            4.539102,            9.996192,           -2.113187,           -7.284884,            9.339179,           -4.019135,            1.383791,            8.591537,            3.222337,           -7.062085,           -0.251630,            0.046105,           -1.284332,           -2.950071,
                  83,            0.409977,            3.990482,            0.377961,            8.098659,          -10.899452,           10.327957,           11.903793,            1.355545,          -20.352127,           -7.009881,            5.397658,           12.730748,           -4.626483,           -5.056422,           14.599430,            3.311952,           -6.585071,            1.625866,            2.697629,           -5.923844,            3.245050,           -0.864266,           -0.731722,           -2.335703,
                  84,            0.206943,            6.643954,           -3.864581,            7.351596,           -7.239060,            5.980737,            5.958322,            1.269352,           -3.140104,           -7.136983,            4.952872,           12.561051,           -3.362009,           -8.408643,           11.131915,            5.184666,           -4.296067,          -11.629265,            2.088312,           -4.663189,            1.942795,           -0.231989,           -1.972188,           -1.937505,
                  85,            0.028196,            1.309740,           -1.271903,            7.786417,          -13.508678,            8.348421,            6.225785,            0.057859,           -8.037718,           -5.992569,            2.969249,           13.248605,           -3.438124,          -12.822709,           20.525802,            5.524086,           -9.489051,           -1.709374,            4.387201,          -11.603910,           -1.402014,           -0.121125,            0.354484,           -2.717837,
                  86,            0.399593,           10.357632,           -3.925134,            7.881038,           -4.108488,            5.906295,            6.743960,           12.608876,          -14.389523,          -10.088462,           12.661218,            9.667300,          -12.060616,           10.675858,           10.315835,            2.951566,           -7.765840,            4.043237,            0.747967,            1.738336,            2.448430,           -0.292466,           -4.515959,           -1.085415,
                  87,           -2.401457,           11.184872,            0.971836,            4.938020,           -3.039212,           10.722654,           10.467399,            3.759774,          -12.313175,           -4.819255,            0.821016,           13.523421,           -0.048082,          -11.230972,            9.841326,            5.837489,           -5.694796,           -7.683210,            0.739906,           -0.236506,            2.827133,            0.703914,           -4.275889,           -3.380550,
                  88,           -3.501181,            9.974508,            1.199216,            3.514501,           -3.439360,           10.570752,           10.041591,           -1.607561,           -8.514365,           -8.945502,            8.918015,           12.832335,          -14.447009,           12.456140,           15.421119,            1.818316,           -7.147125,            8.982905,            2.267352,           -4.741566,           -1.540888,            1.431724,           -3.610555,           -3.923093,
                  89,           -1.955928,            7.960453,           -0.800262,            5.803538,           -6.728343,            8.634813,            9.408203,           -2.114465,           -7.179783,           -7.884441,            5.488447,           14.444333,          -10.224253,            0.800047,           17.738772,            0.150026,           -0.799223,            3.964282,            2.269469,           -5.623690,            0.940025,            0.430078,           -2.244320,           -2.951484,
                  90,           -1.514997,            6.342266,           -5.356582,            6.275088,           -8.305613,            3.930481,           -1.022237,           11.566947,           -5.508257,           -7.675708,            8.239481,            9.935539,          -10.420072,            4.367185,           17.492865,            3.263640,           -7.551332,            1.540711,            4.247230,           -9.389278,           -8.121280,            1.297704,           -2.878392,           -1.356195,
                  91,            2.571801,            4.775197,           -5.389763,           10.226757,           -9.866950,            4.280358,            4.808922,            9.000685,           -9.517621,           -3.999722,            2.126601,            8.000945,           -1.608693,           -8.271339,            9.462761,            9.250092,          -12.656342,           -8.083511,            2.294153,           -3.315654,            2.391769,           -1.151817,           -1.759712,           -0.810021,
                  92,           -0.689023,            0.934252,            1.540043,            6.566853,          -13.003315,           11.081481,            6.214361,           -0.620977,           -7.368980,           -7.571566,            5.063089,           15.190811,           -7.800072,           -1.290266,           16.609354,           -0.488320,            1.403332,            1.600995,            3.635122,          -11.264957,            0.796810,            0.208911,            0.451085,           -3.846741,
