      Plot replica #,            Solution,           chi2/Npts,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,               QTu a,               QTu b,               QTu c,               QTd a,               QTd b,               QTd c,
                  95,                 N/A,            1.889011,           -3.940219,           14.768802,          -10.511919,            7.630305,           -4.785374,           -3.007516,           -5.692806,            2.067524,           14.554252,           -4.926253,           -6.632768,           16.147957,            7.075741,          -14.262911,           -2.566500,           -4.185622,           -3.701965,           -1.872091,           -9.104457,           11.555415,          -10.457216,           14.406393,          -12.382441,           13.701755,
                  96,                 N/A,            1.825235,           -1.878563,            4.350948,           -6.379320,            6.713207,          -12.094256,            2.388070,           -6.260444,            1.592867,           15.842610,           -6.731658,           -0.905974,           14.152250,            0.902649,           -2.125889,            3.299105,           -3.530615,            1.604399,           -1.930713,           -5.660640,            0.959660,            1.480429,           10.143386,           -3.415256,           -0.276920,
                  97,                 N/A,            2.120962,            0.640153,            5.159523,          -12.613413,            4.411217,           -5.626789,            0.525599,          -11.843548,           14.915096,           12.425101,           -6.069007,           11.437207,            0.450690,            3.867325,           -8.923595,           -1.600122,           -2.079669,           -4.610831,           -0.732550,           -3.763011,           12.735328,           -4.563132,            6.239825,           -9.377053,            6.017022,
                  98,                 N/A,            1.872920,           -4.662946,            5.232368,            1.846597,            3.641262,           -7.812056,            8.617594,           -9.514150,           14.258866,            9.245753,           -5.528080,            4.074412,            4.674710,            3.411717,          -14.967150,            1.141577,           -1.041895,            0.848719,           -1.764396,           -3.587527,            4.061935,           -7.469035,            6.512687,           -6.101936,            5.306701,
                  99,                 N/A,            2.017106,           -0.350014,            6.058172,          -10.559559,            4.723193,           -6.143595,            1.340757,           -7.703524,            4.714988,           15.570405,           -7.762534,            4.904757,           10.430593,            1.588408,           -2.291669,            4.299583,           -3.241806,            1.837589,           -5.265821,           -7.112912,           15.749103,          -12.318247,           10.972716,          -19.101064,           17.763618,
                 100,                 N/A,            2.462997,           -4.478312,           17.498619,          -12.234996,            6.197436,           -6.070845,            1.015946,           -9.661507,           11.137531,           11.832038,           -7.358391,            3.056082,            9.341418,            5.119191,          -12.398856,           -6.097451,           -3.307728,           -2.731346,            2.817292,           -9.999961,            9.693470,          -16.748870,           15.429902,          -12.700929,           14.662865,
                 101,                 N/A,            1.764923,           -2.055115,           -0.136626,           -1.028138,            4.383702,          -10.249102,            6.469050,           -5.435020,           -2.042536,           19.222826,           -9.138574,           15.708880,           -2.009698,           -0.354551,           -7.656480,            5.825013,            0.574192,           -3.707835,            4.994298,           -3.590214,           10.695958,           -1.357324,            3.373957,           -5.331203,           -6.259459,
                 102,                 N/A,            2.156475,           -0.110105,           -1.087960,           -2.692507,           12.954547,          -24.894682,            5.263186,           -8.886710,           -0.483567,           22.980530,          -12.166196,           11.434007,           12.261066,            5.275697,           -9.872955,           -9.652998,           -0.245984,            1.089036,           -1.393691,           -5.861980,            1.889497,           -9.335531,            6.693263,           -0.983620,            7.176474,
                 103,                 N/A,            3.206774,           -6.853452,            7.551779,            2.267126,            8.983689,          -17.973326,            8.665162,           -8.533286,           16.187680,            5.627290,           -8.706481,          -10.670806,           10.529541,           -0.750454,           -9.906670,            0.451027,           -2.336957,           -0.059651,           -2.809662,           -0.760525,            5.445635,           -8.383580,            7.078700,           -8.366563,            5.654411,
                 104,                 N/A,            1.746776,           -4.756777,            4.780960,            0.149385,            1.260478,           -7.313938,            9.705489,           -2.529800,            1.554412,            9.356164,           -3.551766,            5.105087,            0.912655,           -0.161202,           -7.180476,            2.145092,           -0.294432,            1.003934,           -0.266978,           -1.147168,            8.114973,           -5.236078,            4.019244,          -10.608977,            1.634883,
                 105,                 N/A,            1.829476,           -4.150599,            4.221512,            2.012848,            6.204618,          -11.593717,            8.025014,           -3.464700,            0.873959,           11.511732,           -8.030533,           -4.133160,           18.086192,            6.493218,           -4.353650,            1.556706,           -4.536520,           -3.917478,           -9.696412,            0.914855,           14.812433,            4.223269,            4.970703,          -11.280362,            1.651352,
                 106,                 N/A,            2.264989,           -0.423916,            3.650020,           -6.113023,            2.978105,           -1.048687,            0.396024,           -5.516306,            5.900029,            9.844079,           -2.460141,           -6.674774,           12.479992,            0.492726,           -9.830458,            8.323387,           -2.944636,            2.602422,            2.170313,           -7.910997,           -1.710991,            1.068713,           10.414185,           -1.186457,           -2.896450,
                 107,                 N/A,            1.947621,           -4.771056,            6.823817,           -0.278780,            7.881283,          -10.013299,            2.125813,           -7.227786,            8.544391,           10.500864,            1.892408,           -2.522594,           -3.609893,           -0.091104,            1.002095,           -1.263431,            0.448453,           -0.469510,           -1.307819,           -2.773047,           11.053756,           -4.852498,            3.971663,          -12.119606,            3.302558,
                 108,                 N/A,            1.932080,           -3.248576,            8.860076,           -7.018809,            7.971116,          -11.150538,            0.339621,          -12.414544,           10.346538,           19.705849,          -11.032595,            2.728800,           12.929896,            5.249213,          -14.690194,            3.382100,           -1.926891,           -2.184839,           -1.591947,           -0.435061,            5.768149,           -3.102832,            1.971066,           -4.048769,            5.460874,
                 109,                 N/A,            2.189269,           -3.901327,            7.753702,           -2.882602,            8.101503,          -16.995044,            8.229577,          -10.660701,           17.925634,            5.424953,           -9.163289,           20.156423,           -3.925437,           -1.105536,            0.130026,            3.067122,           -0.108502,           -2.267865,            2.185764,           -2.138768,            8.361479,           -9.445888,            4.050419,           -7.906581,            4.434692,
                 110,                 N/A,            1.889493,           -1.030206,            2.586884,           -3.224339,            9.787325,          -14.969465,            2.862442,           -5.625756,            0.908801,           16.077685,           -8.229715,           -2.157126,           15.926759,            0.559822,           -5.762909,            6.641317,           -1.192137,            0.003094,           -7.013005,           -1.597727,            7.800358,           -2.817700,            3.673697,           -8.519770,            7.763512,
                 111,                 N/A,            2.127795,           -1.973596,           -3.099679,            3.383906,            2.421787,          -15.776168,           17.682718,           -5.071666,           10.030548,            5.023133,           -5.149616,           -6.179664,           11.853247,            1.599970,           -4.773325,           -2.549409,            0.943174,           -0.063501,           -4.624636,            0.897650,            6.816855,           -8.028588,            0.577252,           -5.596658,            6.063773,
                 112,                 N/A,            1.676291,           -5.728094,           17.082653,          -11.541091,            4.857627,           -2.295639,           -2.382554,           -8.676222,            8.640018,           14.415434,           -7.003701,           11.965681,            0.919617,           -2.029446,            2.386800,            4.029817,           -0.635668,           -2.906610,           -4.218319,           -5.456059,           19.965368,            1.319030,            8.511103,          -22.770156,            3.838122,
                 113,                 N/A,            2.139430,           -2.690922,            1.356319,           -0.351708,            4.045300,          -10.272755,            7.306394,          -14.594187,           14.627963,           18.796947,            0.392663,          -11.415835,           12.316676,            1.644265,          -11.616505,           -3.171813,           -0.768202,            1.444330,           -2.922970,           -0.098760,            3.456631,           -8.896377,            3.611457,           -6.464843,            7.870556,
                 114,                 N/A,            1.857485,            0.326376,           -0.843470,           -4.592188,            5.530507,          -12.679546,            6.020094,           -4.768928,           -1.029617,           15.648455,           -4.056199,          -11.315097,           17.605966,            2.530889,          -11.007552,           -8.010541,            0.816709,            3.693604,           -1.543295,           -0.877057,            7.339694,           -0.304812,            1.564491,          -11.605382,           -0.367572,
                 115,                 N/A,            2.388716,           -0.222033,           -0.726166,           -0.270337,            4.726015,          -18.165419,           17.238221,           -4.115293,            0.586364,           12.967259,          -14.225265,            9.330349,           18.059597,            2.742681,           -3.424577,           -2.368068,            1.997708,            0.804102,           -7.814108,           -4.368118,            7.343487,           -0.818817,            3.561510,           -7.122144,            3.646236,
                 116,                 N/A,            2.135447,           -5.713680,            7.427443,           -0.439943,            6.298866,          -12.115454,            5.818964,           -4.974166,            3.521188,           11.570515,           -8.135315,            3.107074,           11.772858,            3.004283,           -2.834938,           -4.051736,           -1.797381,            0.295902,           -2.631048,           -5.642230,            7.585713,           -5.469320,            9.708526,           -9.387570,            4.622987,
                 117,                 N/A,            1.897554,           -7.893226,           13.624107,           -2.042022,           -0.482636,            2.569758,            4.241367,           -1.737785,           -5.185396,           15.030582,           -8.263918,           11.758916,            1.978010,            2.606323,           -1.344092,           -0.528985,           -4.184634,           -1.612388,            4.851922,            1.486133,           11.005167,           -9.908593,            5.370883,          -13.394323,            2.987575,
                 118,                 N/A,            2.204643,           -3.520971,            5.822188,           -1.748511,            4.201227,           -4.102962,            2.088093,           -6.862298,           -2.625289,           21.661138,            0.783016,           -2.453016,           -2.640836,            6.081160,          -10.620786,           -1.968741,           -3.081737,           -2.086285,           -2.991339,            2.118242,            5.009993,           -6.044827,            2.319369,           -4.602251,            7.081915,
                 119,                 N/A,            1.856367,           -0.788116,            6.585656,          -11.206066,            8.485836,          -14.615522,            2.109708,           -7.644806,            2.569592,           18.208352,          -10.687088,           12.448308,            6.723774,            3.656726,           -7.664296,            5.639953,           -2.918678,            1.558744,           -1.772555,           -6.983413,            1.399929,           -6.064943,            8.713080,           -1.776863,            8.952374,
                 120,                 N/A,            2.129605,           -4.562076,           10.725898,           -6.354848,            6.022366,           -9.035880,            3.328602,           -5.128870,            4.441667,           10.513218,           -4.488420,            8.062074,            0.280068,            1.461984,           -3.132840,           -1.635580,           -1.686245,            1.574220,           -1.129641,           -1.910864,           -4.485195,           -1.598287,            5.317022,            0.103163,            1.679290,
                 121,                 N/A,            1.899315,           -4.323380,            1.914941,            1.757442,            4.836511,          -13.864222,            9.603428,           -8.524091,            7.881649,           14.095509,           -7.988083,           12.920402,           -0.376432,            3.163168,          -11.413817,            6.878656,           -1.761007,           -7.832080,           -4.889705,           -2.523007,            3.303620,           -4.599458,            5.777760,            5.283481,            5.464134,
                 122,                 N/A,            2.260890,           -4.115311,            5.368037,           -1.628328,            6.874273,          -16.324464,            8.863952,           -7.042234,            7.250531,           10.501070,           -7.216491,           -7.682896,           23.910091,            3.653411,           -6.225034,           -7.866929,           -1.810277,            3.226800,            0.730764,           -4.486549,           14.167322,           -5.771730,            8.631323,          -18.484913,            1.173556,
                 123,                 N/A,            2.480079,           -4.639209,           11.219168,           -9.324089,            3.694307,           -7.286489,            3.357996,          -13.787993,           13.363711,           20.282709,          -19.227038,           20.865657,           12.189326,            2.128441,          -10.941148,           -5.615634,           -1.802374,            0.110954,            2.768849,           -7.265748,            5.401431,           -2.238371,           11.630720,           -9.158942,           -1.197236,
                 124,                 N/A,            1.956927,           -2.554649,            3.879640,           -5.076958,           11.410728,          -21.244381,            3.048334,           -5.160479,            5.296208,            8.916198,           -4.449407,            4.260837,            2.092230,            3.729219,           -9.722522,            0.161562,           -1.492515,           -4.837624,           -2.385679,           -6.581513,           19.963052,          -12.253267,            8.862699,          -15.129848,           13.409266,
                 125,                 N/A,            2.252851,           -3.365992,            7.506103,           -4.875961,            6.078142,           -8.103942,            2.089394,           -7.237149,            1.462458,           19.767997,           -8.075188,            7.667467,            5.703035,            1.211534,            3.865335,            2.948850,           -4.020598,           -1.616809,           -3.969675,           -3.742759,           12.889119,           -9.704446,            9.257807,          -13.406567,           12.246403,
                 126,                 N/A,            1.892343,           -0.269215,            2.782249,           -7.172723,            7.191204,           -7.504178,           -2.719467,           -2.036753,            1.042302,            6.724459,           -2.702512,            5.746798,           -0.931436,            4.324792,          -11.719920,           -5.322794,           -1.527885,           -3.701703,            0.068534,           -4.674358,           17.129505,           -9.074582,            7.105749,          -14.655232,            8.540459,
                 127,                 N/A,            2.101837,           -4.244503,            9.461394,           -6.918223,            4.638360,          -13.945609,            8.981910,           -7.832116,            9.269669,           10.661844,           -0.893092,           -0.906734,            1.808847,           -1.395637,           -3.592401,           -4.280448,            1.230479,            2.226465,           -2.351385,           -4.454471,            2.931173,          -14.507474,            6.442400,           -8.436341,           14.222691,
                 128,                 N/A,            2.037947,           -3.975861,            2.651390,           -0.381292,            3.826267,          -10.020496,            7.104168,           -6.580734,            4.227102,           13.678755,          -10.265208,           11.526758,            7.043377,            6.435489,          -13.529472,           -0.556314,           -4.080706,            0.408903,           -4.103059,           -7.557495,            6.752364,           -0.266973,           13.407126,           -7.529653,            1.246550,
                 129,                 N/A,            1.931725,           -3.814898,            3.795171,            1.105760,            5.078426,          -11.610593,            8.805320,           -3.739291,           -1.992981,           15.519277,           -9.508887,           16.602530,           -0.039612,            3.870244,           -6.638932,            1.398966,           -2.250568,           -5.136432,            1.544198,           -3.968777,           13.667240,           -6.659481,            7.369917,           -8.565339,            1.595117,
                 130,                 N/A,            1.988838,           -5.982604,            8.076463,           -1.182752,            3.967287,           -9.436582,            6.768581,          -13.742720,           12.697889,           19.148446,            0.549040,           -6.141232,            4.312345,            4.696182,          -13.401095,            3.610251,           -3.752062,           -5.518628,           -0.390942,           -3.174243,            8.153590,           -9.516684,            9.105643,           -4.596428,            7.275434,
                 131,                 N/A,            1.937376,           -6.909255,           -0.043551,            5.987656,           -0.746237,           -8.946863,           12.098479,           -8.548241,           13.037780,            8.114997,           -4.446564,           -0.993365,            7.903705,            4.884620,          -14.118526,           -1.647926,           -2.315479,            0.084902,           -3.950118,           -1.595935,            8.924757,          -15.259261,            7.430948,           -9.077231,           13.382407,
                 132,                 N/A,            2.205265,            1.948641,            1.640736,          -11.607081,            5.760476,          -12.609676,            4.230617,           -5.963819,            8.440844,            6.775199,          -11.995368,           11.725782,           11.287134,            5.090410,            2.078864,           -8.687715,           -2.015748,           -2.078767,            0.274141,           -6.656195,            2.739005,           -7.724441,            8.169885,           -0.062060,            8.251736,
                 133,                 N/A,            2.126840,           -3.806176,            4.652530,           -1.322695,            6.838715,           -9.721518,            2.931493,           -9.134965,            6.137052,           15.133059,          -17.169038,            7.103608,           25.834394,            7.145607,          -13.689867,           -2.462076,           -4.545139,           -0.359136,           -6.152712,           -4.005451,           -2.683915,            3.036018,           10.273383,            1.659445,            0.525256,
                 134,                 N/A,            1.956332,           -3.203890,            7.073589,           -6.701508,           10.064980,          -16.418156,            1.826553,           -5.019639,            5.010135,            9.372651,           -3.600384,           -9.897151,           18.183993,            4.140658,           -7.442717,           -8.293040,           -0.692175,            4.997040,           -2.786987,           -3.026870,            1.928642,            0.783190,            5.097857,           -8.348445,            0.865757,
                 135,                 N/A,            2.169178,           -7.693664,           10.256966,            1.062044,            2.755345,           -6.594148,            7.521436,           -3.066229,            1.185062,            9.826171,          -11.635065,           -1.812787,           21.694569,            3.165119,           -8.769071,           -5.127436,           -0.390029,           -1.068106,           -0.255252,           -6.663814,           10.414776,           -4.627462,           10.187324,          -12.399033,            1.087101,
                 136,                 N/A,            1.992951,           -3.155612,           18.855748,          -19.996265,            1.850740,            5.907996,           -7.393958,           -0.917250,           -0.750799,            7.975685,          -12.189180,           13.053352,            9.359262,            2.976430,            3.933073,           -6.185179,            0.337615,           -8.441623,           -3.989024,           -3.667549,            8.391607,           -1.522240,            4.248829,           -6.266934,           10.726151,
                 137,                 N/A,            1.800821,           -0.906996,            9.376701,          -12.814707,            6.297512,           -3.421749,           -5.173816,          -13.108780,           17.588887,           11.378129,          -10.958772,            1.001705,           20.458598,           -0.054171,          -14.996116,            8.661791,           -1.124210,           -3.570565,            4.989953,           -0.113106,           10.370941,           -5.495892,            0.994514,           -8.611134,            2.673794,
                 138,                 N/A,            2.088509,           -3.154398,            2.426065,           -1.983497,            4.567380,          -11.673599,            6.080576,           -3.792278,           -1.553476,           13.427881,          -11.527204,           20.339277,           -1.292408,            1.731799,           -7.435459,           -1.084416,           -0.007689,           -5.555438,           -4.217746,           -0.274852,           12.848169,           -5.707198,            2.938602,           -8.659712,            6.473737,
                 139,                 N/A,            2.536263,           -5.624001,           11.130945,           -4.592793,           11.941440,          -22.480348,            6.442566,           -8.821044,            8.003906,           15.951731,           -0.582241,            9.570327,           -8.452183,           -2.950282,            4.894902,            8.880898,           -4.722878,           -4.831047,            4.999434,           -1.870036,           14.528002,           -9.733939,            8.115988,          -11.006688,            2.363650,
                 140,                 N/A,            1.766727,           -3.697262,            4.566302,           -3.226779,            3.288103,           -6.954150,            4.707990,           -7.322760,            5.630223,           13.703697,          -11.498389,           15.990304,            5.724891,            2.344594,          -14.364452,            4.026175,           -4.989447,            4.073143,            1.757204,            0.695159,            9.038823,          -10.838715,            6.308883,          -14.743129,            6.924924,
                 141,                 N/A,            1.984509,           -2.430929,            8.290886,           -8.054236,            6.209309,           -6.435832,           -0.797183,           -8.657530,           -1.039358,           23.951680,           -9.330731,            4.169266,           10.405992,           -0.314920,           -9.216156,            3.328778,           -0.248695,           -6.592964,            4.998714,           -4.184506,            7.924035,          -16.103308,            5.229777,           -3.378729,           11.234526,
                 142,                 N/A,            2.122684,            0.483525,           -2.359232,           -3.861778,            6.268477,           -8.815887,            0.854841,          -11.255377,           17.039242,           10.145502,           -7.339355,           12.285929,           -2.055498,            7.059744,          -14.993542,            2.492691,           -3.340680,            2.279661,           -2.102115,           -6.051877,           15.928787,           -6.498470,            8.310862,          -16.470825,            8.731389,
                 143,                 N/A,            2.169868,           -7.484102,           12.060030,           -1.698151,            5.769072,          -10.686497,            6.401167,           -2.257498,            0.951034,            8.372844,           -5.703090,            7.796425,            0.244661,            3.957498,           -6.234300,            0.368788,           -4.994064,           -5.520436,           -3.313617,           -6.011429,            4.500827,           -7.025682,           14.107171,           -2.550231,            7.199185,
                 144,                 N/A,            2.018886,           -6.119884,           -0.388286,            5.802226,            6.556688,          -18.204477,            9.626117,           -3.713652,           -0.127297,           12.466337,          -14.673780,            4.351779,           23.115809,            4.705528,           -0.392702,           -5.042368,           -2.200375,           -8.103613,           -3.801109,           -4.223568,           13.588656,           -8.123766,            8.862237,           -4.385256,            6.477807,
                 145,                 N/A,            2.118836,            4.463599,           -0.690000,          -12.889189,           10.423472,          -11.555656,           -3.927560,           -6.189207,            5.886376,           10.599687,          -10.720642,           16.880141,           -2.694436,            3.823984,          -12.717402,            1.114449,            0.861874,           -0.400704,           -1.212221,           -5.096949,            7.555221,           -0.142392,            2.254175,           -5.439333,            3.124685,
                 146,                 N/A,            1.892326,            0.531071,            5.026359,           -9.862750,            3.451514,           -2.831414,            2.012042,           -5.358490,            8.649120,            6.329526,           -1.084322,            1.621935,           -3.813605,            2.486234,          -10.141957,           -3.217521,            1.693187,           -2.783770,           -1.139798,           -2.065574,           18.037888,          -11.059981,            0.964498,          -17.101855,           12.203609,
                 147,                 N/A,            2.230862,           -3.618952,            9.912880,           -9.097318,            3.111064,           -4.158042,            1.427745,          -10.737532,            8.072734,           18.804047,          -10.825792,           14.844328,            2.649930,            3.802918,          -10.291862,            1.193414,           -0.396737,            4.131808,           -6.846584,           -1.818238,            1.397895,            2.928464,            2.792394,           -7.247026,            4.645005,
                 148,                 N/A,            2.126285,           -5.932164,            6.528022,            4.129208,            2.571210,           -5.758835,            9.009467,           -9.563673,            8.541237,           15.407503,           -1.840950,           -6.196086,            8.615390,            2.999109,          -13.569598,            3.201109,            3.769705,           -2.390451,           -2.042890,           -5.913933,           15.569931,           -8.585256,            3.324959,          -13.388298,            6.501328,
                 149,                 N/A,            1.847677,           -7.111198,           10.351013,           -0.493100,            2.296579,           -6.010842,            7.689769,           -5.461509,            1.477230,           14.372462,           -1.586625,          -15.650202,           20.027305,            3.364934,           -2.422110,           -8.475647,           -3.117435,            1.401037,            2.569653,           -0.637967,           17.311300,           -5.532667,            7.078854,          -22.332078,           -0.456443,
                 150,                 N/A,            1.999624,           -4.643367,           11.213884,           -5.533161,           -0.569194,            6.984369,            0.087939,           -7.588629,            7.563451,           13.044604,           -1.994430,           -2.045637,            6.722153,            3.085790,          -13.682633,           -0.540439,           -1.604944,           -2.665437,           -1.185273,            1.113901,            7.194927,           -6.569602,            3.221962,           -9.972578,            7.061997,
                 151,                 N/A,            1.982702,           -4.558210,            9.978246,           -4.245330,            6.323592,           -6.865517,            1.764096,           -7.218745,            5.651741,           14.625670,           -7.532301,            8.423041,            1.145959,            5.058817,          -12.395999,           -9.996731,           -0.004994,            3.180491,           -0.675891,           -6.227138,           15.445808,          -11.644628,            8.145571,          -21.802498,           10.812630,
                 152,                 N/A,            2.064826,           -6.028913,           10.239989,           -4.032603,            3.471385,           -5.958636,            2.942859,           -6.954359,           11.592026,            5.609300,          -14.966506,            5.964903,           24.395699,           -0.761547,           -3.960609,           -0.450838,            0.256066,           -2.626086,           -1.703171,            0.539494,            8.579217,          -13.184188,            2.401001,           -9.918242,           12.789914,
                 153,                 N/A,            1.643265,            2.242580,           -4.998251,           -1.912260,            8.152964,          -14.423690,            5.209575,           -4.719706,            0.737917,           14.428079,          -12.460184,            2.362067,           21.778064,            0.690345,           -8.147709,            2.498650,            4.779315,           -5.463322,            1.706903,           -8.790693,           12.163970,          -10.508524,            2.762816,           -3.174662,            6.471661,
                 154,                 N/A,            2.300017,           -4.742540,            4.018218,           -1.575935,           -0.386446,           -4.451520,            8.066313,           -4.593230,            3.336006,           10.556478,           -3.731738,           -2.953718,            8.881095,           -1.468445,           -5.353299,           -1.223667,            0.601906,            1.962243,            4.999637,           -6.651479,            1.288304,          -10.408285,            8.780860,           -4.788360,            2.199092,
                 155,                 N/A,            2.223436,            2.056032,           -2.160307,           -6.375433,           10.026466,          -19.896257,            6.054651,           -3.679976,           -2.949997,           14.848482,          -14.535404,            1.604527,           24.117058,            1.574689,            1.688783,            3.943684,           -2.449365,            0.667142,           -3.927134,           -5.172059,           13.354078,           -4.316523,            7.051601,          -11.881356,            6.779954,
                 156,                 N/A,            1.724911,            1.041434,           -1.456968,           -6.401541,            4.683590,           -9.536224,            4.168903,           -4.475236,            5.333394,            8.678293,           -2.541141,           -5.524458,            9.061570,            3.358042,           -2.140357,           -0.295887,           -1.834253,           -3.064387,           -1.327419,           -8.132970,            5.679259,            7.190537,            9.883204,           -1.742304,           -6.430327,
                 157,                 N/A,            2.209031,           -9.357542,           12.898154,            0.030430,            4.567040,           -2.903496,           -1.969947,           -6.152754,            6.164542,           10.362379,           -7.970817,            4.564177,            9.379205,            2.460656,           -9.583766,           -1.855335,            0.238078,           -0.752433,           -1.198812,           -2.352216,            2.768252,          -10.763735,            4.600885,           -5.354633,           10.374358,
                 158,                 N/A,            2.027442,           -1.265175,            2.251548,           -6.524330,            3.745919,           -9.409867,            5.787466,           -7.020523,           14.717450,            3.275562,           -9.714899,           -2.932611,           19.739139,            1.031563,          -11.568126,            1.107529,            1.502332,           -1.699723,           -1.180859,           -6.067216,           18.855495,           -4.593348,            5.271817,          -16.978421,            4.577125,
                 159,                 N/A,            1.636998,           -4.090248,            6.354220,           -3.135906,            5.961675,          -10.680862,            5.101532,          -11.537145,           10.712899,           17.855762,           -6.389721,           11.638239,           -1.869943,            4.745649,           -8.438294,           -5.305404,            0.039749,            4.986282,           -8.081345,           -5.138525,            0.263277,           -0.771898,            6.627715,           -6.538937,            6.735557,
                 160,                 N/A,            1.768356,           -1.778070,            1.585246,           -3.341390,            0.698977,           -3.827161,            6.503477,           -4.004956,            2.256531,           11.430394,          -14.789775,           18.547064,            8.795906,            2.924001,           -5.065994,           -2.588959,           -0.288212,           -2.063769,           -0.913447,           -2.855789,            8.252691,           -8.901165,            4.365817,           -6.684351,            7.866935,
                 161,                 N/A,            2.182235,           -1.590365,            4.175031,           -7.073064,            5.031423,          -10.790198,            4.449012,           -6.049672,            3.325419,           12.067515,            5.307255,           -3.383466,           -7.170188,            3.788139,            0.987044,            3.827151,           -1.553785,           -8.770004,           -6.341552,           -3.721786,           15.313694,            2.153869,            5.196862,           -6.204770,            4.098711,
                 162,                 N/A,            1.976005,            1.566915,           -0.339083,           -4.823984,            6.020489,          -11.973143,            7.898741,           -3.326677,            2.770566,            9.092720,          -11.420963,           16.623132,            1.490741,            4.536843,           -0.864635,            0.555539,           -1.750408,           -0.542313,           -3.911839,           -4.520639,           14.483371,          -11.061847,            5.434063,          -12.293349,           13.445573,
                 163,                 N/A,            1.848581,            1.087439,            8.241908,          -17.902884,            6.637851,           -4.241831,           -6.785076,           -4.862054,            4.595829,            9.944355,           -0.768705,          -17.062367,           19.984880,            7.366412,          -10.036140,           -9.902290,           -1.584846,           -4.155299,           -3.554141,            0.800146,           13.532561,           -3.257722,            1.024495,          -12.546114,           10.448012,
                 164,                 N/A,            1.910174,           -5.436705,            3.680735,            4.206132,            3.195005,          -16.344197,           17.639239,           -9.524399,            7.302920,           16.744038,          -10.276091,           14.441630,            4.465278,            1.528808,           -7.196684,            9.999350,           -2.403135,           -1.275627,           -4.255673,           -4.023109,           10.645383,           -7.680154,            8.156231,           -8.369541,            6.159035,
                 165,                 N/A,            2.060188,           -5.082847,            8.816095,           -8.455759,            5.715846,          -11.522664,            0.668502,           -1.948920,           -0.376579,            9.956094,          -10.187423,           12.037506,            6.346549,            2.886098,           -8.153569,           -0.378496,           -1.685575,            0.553066,            0.257778,           -2.853767,            3.392123,           -8.360490,            5.697193,           -5.174621,            8.670782,
                 166,                 N/A,            1.840990,            0.560563,            0.644259,           -6.696142,            5.087730,          -10.917067,            5.063445,          -11.027141,            9.782720,           16.922940,           -9.305941,           13.545705,            3.484605,            0.063371,           -3.442589,           -2.827763,           -0.126063,            2.210574,           -1.076764,           -3.979483,            6.420655,           -9.134152,            5.353365,           -9.076796,            8.234984,
                 167,                 N/A,            2.228569,           -0.554013,            2.487716,           -5.856652,            1.245040,           -4.075185,            5.865176,           -9.627652,            6.940170,           16.233476,           -7.815240,            7.219574,            6.425056,            2.675355,           -9.140293,            1.349924,           -0.301714,           -2.611479,           -3.476080,            1.997307,           10.600563,          -13.684227,           -0.711479,           -8.855837,           15.851267,
                 168,                 N/A,            2.083550,           -1.151280,            2.287400,           -3.432439,            8.884099,          -15.331053,            4.116428,           -6.302911,            0.543209,           17.463490,           -9.625850,           13.422333,            2.277919,            3.697647,           -3.905292,           -8.009702,            0.775730,           -6.818145,            4.825345,           -1.036696,            3.776387,           -9.208030,            0.788926,            3.531427,            2.034488,
                 169,                 N/A,            2.209243,            1.108292,            0.412184,           -6.411835,            7.064914,          -10.474663,            2.600049,           -3.839675,            7.680552,            3.577754,           -9.614587,            7.000480,           11.438325,            5.973436,          -11.278554,           -1.602159,           -3.895376,           -3.554729,            1.254592,           -5.048731,            8.407379,           -9.634804,            8.976977,           -4.858716,            7.656704,
                 170,                 N/A,            2.174136,           -5.307322,           12.054539,           -8.550085,            5.439539,          -10.278323,            3.296071,          -10.340577,           13.052281,           10.325077,           -3.252863,            3.357180,            1.902864,            1.338461,           -9.913980,           -0.158085,           -1.413449,            2.275810,           -0.265811,           -2.503555,            4.726646,           -8.485693,            5.861895,           -9.967963,            8.388212,
                 171,                 N/A,            1.700200,           -1.279378,            6.207662,           -8.934427,            8.216477,           -4.674565,           -7.682710,           -3.204352,           -0.047596,           10.936598,           -6.528518,           -0.750148,           12.081494,            1.887300,           -5.179136,           -2.929395,           -1.893293,           -4.637245,            2.267355,           -0.951667,            7.160142,          -10.234615,            3.377535,           -4.726517,            9.285024,
                 172,                 N/A,            2.092884,           -0.872645,            9.728854,          -12.641874,            6.695253,           -6.381921,           -1.343789,           -8.555570,            3.205769,           18.351361,           -3.904013,           -4.659932,           13.264417,            2.253419,            4.759671,           -5.106536,           -4.704301,           -1.054590,            4.997903,           -5.720128,            5.559789,           -9.406605,           11.072268,           -7.408839,            5.675451,
                 173,                 N/A,            2.091210,           -3.449256,            6.591410,           -2.829097,            7.436112,          -11.486004,            4.438861,           -2.155366,            3.811122,            4.735209,            2.166233,           -0.412969,           -7.324119,            0.627038,           -7.510873,           -1.496812,            2.763827,            2.932935,           -1.547798,           -0.243758,            8.216526,          -10.385011,           -1.360013,          -12.945536,           10.389130,
