      Plot replica #,            Solution,           chi2/Npts,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,               QTu a,               QTu b,               QTu c,               QTd a,               QTd b,               QTd c,
                  18,                 N/A,            2.922959,            2.268375,            9.048950,          -15.313042,           -1.086794,           -0.594717,           10.235973,           -7.787264,           -1.144164,           20.778669,           -3.836038,            2.831137,            5.710855,            3.068255,          -13.312243,            0.238630,           -0.405369,            0.045597,           -0.239319,           -8.176963,            3.766336,           -4.493174,            9.383826,           -7.531212,            5.395136,
                  19,                 N/A,            2.137576,           -3.375754,           12.584650,          -11.501797,            6.454207,           -9.034737,            1.576514,           -8.692785,            0.487516,           23.210107,           -6.194792,            6.912184,            0.902680,            5.216064,          -13.713902,           -7.553243,           -0.855234,            4.472779,            0.827599,           -1.485528,            8.171319,          -14.179154,            3.286512,          -15.276780,           13.991926,
                  20,                 N/A,            2.343716,           -8.826623,           10.034118,            0.211659,           -1.721245,           -4.963572,           11.296646,           -7.861430,            6.431278,           13.648672,           -1.366951,            7.692460,           -7.326720,            3.477842,           -6.971717,           -5.829792,           -1.135747,           -1.923427,           -1.330467,           -3.353103,           10.302577,           -9.910513,            8.627443,          -11.618338,            7.002044,
                  21,                 N/A,            2.009415,           -5.426100,            9.989477,           -5.040866,            6.185213,           -8.602960,            1.021485,          -12.627284,           15.268159,           14.085664,           -8.213661,            2.557186,           11.301525,            2.698881,           -5.998340,            0.470908,           -0.548350,           -7.886616,           -2.913238,           -3.843377,           14.690038,           -3.340404,            6.394362,           -9.421874,            4.913193,
                  22,                 N/A,            2.003951,            0.843160,           -1.999269,           -3.920834,            5.870068,           -8.270826,            1.146473,           -4.504182,            3.853127,            9.392698,           -6.369038,            6.354504,            5.338125,           -2.699610,           -4.506209,            9.377790,           -0.895578,           -1.610370,            3.762520,           -6.361486,            4.440642,          -11.983934,            7.315843,           -1.846238,            6.779712,
                  23,                 N/A,            2.027516,           -5.264677,            7.976731,           -1.225419,            4.698285,          -12.658988,            9.944895,           -5.856596,            5.208819,           11.257550,           -9.295871,            8.133267,            9.317459,            4.231307,           -7.804363,           -2.038346,           -1.256350,           -3.559501,            0.091609,           -0.743646,           14.924420,           -4.297045,            3.726670,          -12.406698,            0.954200,
                  24,                 N/A,            2.058846,           -2.445939,            1.580956,            0.310914,            2.961653,           -7.840943,            9.250159,          -13.865544,            8.739531,           24.296647,            5.062601,           -8.431885,           -5.872422,            6.322901,          -11.780038,           -5.374423,            0.536258,           -6.183382,            2.892094,            0.776179,            8.479996,          -11.518207,           -0.700185,           -1.210216,            5.116907,
                  25,                 N/A,            1.771382,            0.076553,           -0.770844,           -4.197650,            3.670633,          -10.954861,            8.854193,           -6.414115,            5.738485,           10.187788,            1.873432,          -12.194244,            7.456841,            5.328275,           -0.655531,           -2.714617,            0.115594,           -6.300783,           -6.693795,           -2.073026,            6.955731,           -8.330772,            2.405353,            0.634448,           12.487940,
                  26,                 N/A,            2.021569,           -0.747074,            2.891900,           -6.142277,           11.511456,          -14.662397,           -3.210793,           -4.021411,            7.309430,            5.441858,          -15.934771,            9.008963,           22.873480,           -1.052991,            4.194753,           -2.775243,            0.426807,            0.271870,           -0.335431,           -1.351854,           14.924721,          -12.275460,            1.487747,          -15.941603,           12.166831,
                  27,                 N/A,            1.906758,           -2.448515,            2.487246,           -0.895995,            8.274798,          -12.923611,            3.915061,           -4.696032,            4.664461,           10.435005,           -5.015846,           -6.151723,           14.814172,            2.199231,           -8.717517,           -2.629148,            3.265526,           -1.481319,           -4.099576,           -4.448761,           -1.309549,           -0.606636,            2.192276,            2.893706,            1.650431,
                  28,                 N/A,            1.760254,           -4.075760,            4.156427,           -3.117636,            3.536714,           -8.190514,            3.724490,           -0.433243,           -3.496650,            8.748511,           -9.304434,            2.050282,           13.840900,            5.437916,           -8.289792,           -1.414432,           -2.652129,           -0.944761,           -7.112413,           -0.274361,           11.086407,           -6.294071,            4.652509,          -11.001957,           11.594953,
                  29,                 N/A,            1.810952,           -2.700881,            3.901521,           -5.948049,            3.966576,           -7.465385,            2.606653,           -8.384986,            7.731889,           13.530425,          -23.150765,           21.529730,           23.177347,           -1.441307,            1.995284,            5.093379,            0.482015,           -4.384825,           -1.471026,           -3.703731,            5.194784,           -2.088493,            4.440061,           -1.991852,            3.017654,
                  30,                 N/A,            2.434164,           -1.799108,            7.154298,           -9.005750,            3.577241,           -6.973966,            4.172980,           -2.575934,           -3.175064,           13.651081,           -7.018787,            0.697311,           12.088211,            2.510730,           -2.920978,           -6.578858,           -1.808952,           -3.381146,            2.126795,           -4.177066,           16.883447,          -11.809150,            8.054064,          -16.410217,            8.662135,
