      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT b,                G2 a,                G2 b,                G2 c,               QTu b,               QTd b,               QTs b,
                 103,           -6.473451,            6.050016,           -4.883214,           11.477350,          -10.270406,            3.370953,            3.512139,           -0.217667,           -7.067501,          -11.411462,           12.380768,           18.597466,           -4.623238,            7.051810,            5.885837,           11.219779,            7.942095,          -11.728179,           -9.980976,            0.887835,           -7.378910,           -4.478621,            2.536552,           -5.192805,            1.350237,
                 104,           -5.192840,            5.030811,            0.853597,           11.800396,          -11.852714,           -4.649392,            6.561594,           -5.863810,           -3.556681,            0.001807,           -1.750867,            6.367797,           -1.956107,            8.703748,           -8.691208,            9.345681,           -0.864769,          -18.334452,           -1.875681,            0.592194,            2.340978,           -5.063133,           -3.636341,            7.454874,            1.622185,
                 105,           -3.371747,            3.398670,           -0.554533,            9.253915,           -9.177834,           -4.778375,            9.018573,           -7.864711,           -2.736087,           -2.058146,           -1.677091,           10.033127,           -6.076712,            1.029933,            8.896801,            7.813708,          -11.123801,           -4.598773,           -2.981039,            0.087693,            1.571185,           -4.346817,           -2.639701,            7.374717,           -0.967727,
                 106,           -5.402744,            5.259332,            0.646506,           11.638341,          -11.820715,           -3.712087,            8.879097,           -7.159313,           -7.867020,           -4.752973,            4.506137,            9.146334,           -9.296777,           10.925064,            4.558792,            1.878741,            5.808621,          -10.630298,           -0.127580,            2.501869,            0.046501,           -9.038309,           -3.269922,            7.063899,            2.485536,
                 107,           -5.470133,            5.614269,            1.063591,            7.630245,           -8.064572,           -2.720549,            7.419453,           -5.782422,           -8.399895,           -0.449294,           -0.208670,            5.248386,           -8.927810,            8.967842,            5.641705,            6.657173,           -3.015089,          -10.864968,           -3.254308,           -0.835484,           -0.247032,           -0.705063,           -4.630326,            6.818714,            2.862207,
                 108,           -5.064586,            5.133780,           -0.132672,            6.571858,           -6.911976,           -3.974803,           14.489201,          -13.320825,           -4.844036,           -2.090564,            3.264391,            4.672774,           -8.421592,            3.081268,           11.463260,            8.531302,           -8.523626,           -8.485132,           -0.574344,            0.878310,            0.354885,           -5.155544,           -3.213957,            7.774294,            1.151734,
                 109,           -1.423622,            1.521408,           -0.215712,            2.257587,           -2.478786,           -2.336637,            4.024264,           -3.160172,           -2.828305,           -7.969194,           11.048340,            7.426306,           -0.431143,            3.917124,           -5.560345,            6.286495,           -4.358641,           -8.868436,            2.589354,            2.131716,           -1.353958,           -5.593332,           -3.333502,            5.592828,           -0.111840,
                 110,           -1.183048,            1.526691,           -0.162612,            6.490327,           -5.953897,           -6.180310,            7.837621,           -9.149450,           -1.429764,           -7.417941,            7.975013,           10.380096,           -0.325007,           -2.502136,            0.619008,            8.892455,           -5.970615,          -12.700812,           -4.233786,           -0.647706,            2.286384,           -3.254471,           -4.108478,            7.291381,            5.878283,
                 111,           -5.637655,            5.962739,           -1.866164,            6.149722,           -6.343050,           -0.333543,            6.652715,           -5.592196,          -10.722166,            1.048795,           -3.783897,            6.273761,           -1.652026,           -7.528258,           10.179784,           13.303166,          -10.610200,          -15.525561,            1.030203,           -0.049029,            2.212772,           -4.356158,           -2.152481,            3.635601,            7.424240,
                 112,           -6.247512,            6.159242,            0.897794,           13.035285,          -12.790004,           -3.976188,            1.609719,            0.204044,           -8.482497,           -3.188172,            3.557784,            6.314202,            0.154990,           -5.312186,            3.553609,           17.098901,          -13.456059,          -21.275856,           -4.212236,           -0.163693,           -2.042832,           -2.199394,           -4.147097,            5.697127,            4.833624,
                 113,           -2.371782,            2.363698,            0.210811,            9.907239,           -9.647827,           -4.379963,            6.269757,           -5.291295,           -5.584597,           -3.601620,            3.907524,            6.834427,           -0.932275,           -2.143086,            2.280704,           15.662535,          -17.486530,          -13.249299,           -2.348377,            1.651430,            0.446644,           -7.719431,           -3.318486,            6.285691,            3.133936,
                 114,           -7.889566,            7.944819,            1.520982,            8.483582,           -8.185976,           -4.765120,            6.619740,           -6.201092,           -5.596575,           -0.763733,           -3.757511,           10.430620,           -1.732496,           -5.126213,            7.015617,           11.062521,          -12.081021,           -9.287751,           -2.121493,           -0.383807,           -0.152688,           -1.261613,           -4.939587,            6.682968,            3.700125,
