      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT b,                G2 a,                G2 b,                G2 c,               QTu b,               QTd b,               QTs b,
                 153,           -2.581425,            2.621576,           -0.060647,           13.244956,          -13.011219,           -5.028822,            0.819313,           -0.251464,           -2.456232,           -3.476275,            2.692793,            8.161732,           -1.721915,           -0.028850,            1.050183,            9.498927,           -4.742093,          -14.987460,           -1.623795,            0.456581,            0.238157,           -4.145587,           -3.281814,            6.976052,            1.059247,
                 154,           -1.108940,            1.006852,           -0.655166,           10.277093,          -10.055832,           -6.168673,           -5.826308,            6.708117,           -3.644203,           -5.870443,            4.802659,           11.213287,           -9.820507,           10.526955,            5.722371,            5.632844,          -10.072583,            2.402318,           -2.781129,            1.277615,            4.997093,           -9.942391,           -2.352457,            8.209308,            2.923918,
                 155,           -6.317436,            6.318778,            1.455127,           14.093876,          -14.163541,           -3.484663,           -3.769295,            4.359213,           -7.358585,           -9.918808,            9.536371,           13.921587,           -3.080546,            0.243532,            3.702549,            0.595687,            1.418529,           -3.432024,            1.529976,            2.432249,            0.706213,           -7.847599,           -4.751189,            6.450041,            5.363868,
                 156,           -4.637256,            4.168057,            1.547203,           14.492217,          -14.855557,           -3.031148,           17.068255,          -13.652177,           -9.841919,           -5.659352,            6.844910,            7.902844,           -4.324724,           -1.173472,            8.709940,            2.003492,            1.323365,           -5.004569,           -3.693754,           -0.773494,            0.169486,           -1.201592,           -3.413230,            6.754796,           -0.265770,
                 157,           -3.647384,            3.412807,            1.162920,           12.891810,          -13.224338,           -3.734885,           12.573459,          -11.055035,           -4.242934,           -5.917196,            7.166543,            8.855661,           -3.581898,           -1.429152,            6.643306,            6.140210,           -3.073044,           -8.973765,            3.278776,            3.793915,           -0.145157,           -9.962958,           -3.732852,            7.427826,           -0.779254,
                 158,           -2.778838,            2.620339,            0.907035,           10.524716,          -10.507294,           -5.083705,           -0.004529,            1.091499,           -5.701610,           -5.349573,            1.607579,           13.963839,           -7.846803,            2.355190,           10.316454,            4.157476,            0.012766,           -8.520676,            0.252006,            2.257773,            1.913479,           -8.941312,           -3.841764,            7.661564,            3.449809,
                 159,           -4.516242,            4.856670,           -0.089459,            4.585143,           -4.648124,           -4.740801,            2.700780,           -2.223561,           -4.427175,           -4.374905,            3.089274,            9.880750,           -2.676752,            5.685171,           -3.463461,            4.472767,           -3.760570,           -5.121820,           -3.027978,            0.012224,            0.539220,           -3.854878,           -4.134799,            7.741074,            3.048201,
                 160,           -5.667044,            5.804954,            2.327775,            9.219849,           -9.365679,           -3.284482,           11.998756,          -10.702557,           -7.072763,           -2.635777,            3.042416,            6.379091,           -3.914214,           -5.325242,           11.543534,            5.417909,           -5.435373,           -5.100908,            2.274776,            3.391790,           -5.173668,           -6.556856,           -6.030415,            6.358063,            2.566587,
                 161,           -3.141897,            3.027986,            0.585770,            4.269347,           -3.869335,           -0.534309,           11.062496,          -10.544856,           -4.031315,           -3.054954,           -0.496427,           10.938545,           -4.252272,            6.430004,           -0.757876,            7.906399,           -7.307306,           -8.849645,            2.482855,            2.211998,           -4.932516,           -3.219809,           -3.647072,            1.666114,            2.315878,
                 162,           -6.525884,            6.769418,            0.255994,           12.557972,          -13.053694,           -1.944803,            1.002273,            0.489974,           -8.070544,           -5.856840,            8.465008,            6.452004,           -7.702838,           11.093165,            1.559754,            4.433824,            9.273912,          -20.152972,           -2.630421,           -1.036020,           -1.744576,            0.861197,           -4.178221,            6.035086,            3.328877,
                 163,           -3.825612,            4.422760,           -4.672225,           13.018066,          -17.119858,           13.406806,            4.807845,           -0.072286,           -7.373660,           -6.650198,           -3.404425,           20.799312,           -8.106347,           -0.884034,           14.540374,            3.222054,          -15.460605,            5.884093,           -0.597422,            0.892554,            1.608087,           -0.440308,           -0.303703,            1.398905,          -11.066030,
                 164,           -3.609479,            3.441128,           -0.944425,            3.010860,           -3.029889,           -6.069670,            6.527931,           -4.363926,           -0.571765,           -7.973590,            7.495606,           12.777412,           -3.398045,            1.840828,            2.481028,            3.419339,           -9.591191,            6.086250,           -4.371064,           -0.991061,            1.847620,           -2.344498,           -2.052851,            8.607378,           -3.832376,
                 165,           -4.798987,            4.690635,           -1.029167,           14.585391,          -15.755044,           -1.273848,           11.185843,           -7.130195,          -10.114361,           -9.036595,            8.317156,           13.338795,          -10.616587,           13.710072,            4.891693,            4.345600,            6.333307,          -16.924280,           -5.783980,           -1.255133,            2.827234,           -2.840567,           -1.637026,            7.679953,           -2.481531,
                 166,           -4.370880,            4.288803,           -0.143915,            4.645914,           -4.757739,           -5.241663,            3.767352,           -2.129543,           -8.076533,           -1.920326,            0.351540,            7.904271,           -2.274652,           -0.996866,            3.047750,            7.402226,           -4.878526,          -10.167398,           -5.267310,           -0.093077,            4.341235,           -7.294701,           -2.510127,            8.689919,            3.047906,
                 167,           -4.528782,            4.624365,            0.732003,           12.674015,          -12.184082,           -4.375933,           14.782393,          -14.468529,           -6.018779,           -4.519109,            3.290032,            8.792818,           -1.194908,           -0.410009,            0.327122,            7.380192,          -10.216191,           -5.278299,           -4.707550,           -1.649250,            0.444617,            0.210237,           -4.155885,            5.658133,            4.968166,
                 168,           -2.662967,            2.712783,            0.225133,            6.773446,           -6.654646,           -3.858877,           10.066382,           -9.034267,           -6.184849,           -4.663649,            4.726396,            7.991179,           -4.008631,           -7.272365,           14.030351,            5.071830,           -8.732022,           -1.322423,           -2.920146,           -1.152198,            1.103896,           -0.919350,           -3.434494,            6.229392,            2.748002,
                 169,            1.605929,           -1.429643,            0.650826,            9.726626,          -10.030904,           -4.324272,            5.874959,           -5.387361,           -3.053673,           -4.206012,            3.469164,            8.964902,            3.766955,           -3.318792,           -6.906095,           10.715811,           -7.944335,          -13.935424,            0.736911,            2.597672,           -0.138986,           -7.959197,           -4.511380,            7.930214,            1.586628,
                 170,           -5.616376,            5.877459,           -0.074232,           12.875285,          -13.585501,            0.608754,           11.986440,           -9.750036,          -11.569517,           -6.448882,            9.133151,            7.617583,            0.521678,           -7.705291,            5.163008,            6.681417,           -0.568779,          -12.369637,            1.450258,            1.032689,           -3.076658,           -2.724557,           -3.812838,            4.314499,            3.746734,
                 171,           -6.536063,            6.768788,            0.126654,            9.946578,           -9.725133,           -3.637456,            8.653735,           -8.931010,           -5.679507,           -4.873411,            5.487403,            8.092721,           -5.388884,            4.564598,            3.745662,            4.699958,           -1.252249,           -8.367810,           -1.171221,           -0.108720,            1.316133,           -3.147182,           -3.971739,            5.606155,            6.455050,
                 172,           -4.819103,            4.768681,            1.957424,            8.404296,           -8.867280,           -2.997948,            4.433660,           -2.491192,          -11.771919,           -6.780950,            8.668385,            8.361778,           -5.538589,           -0.411400,            9.555969,            7.329838,           -2.917609,          -11.803337,           -1.503991,            1.553582,            0.648317,           -6.767752,           -5.017319,            7.228589,            5.516257,
                 173,           -7.093851,            6.768637,            1.368429,           10.703592,          -10.571124,           -4.562369,           10.228604,           -8.461674,          -10.221198,           -6.384968,            3.641105,           13.783864,           -6.981776,           11.507455,           -2.211191,            6.780771,           -1.867725,          -12.685296,           -2.739764,            0.847846,            1.631394,           -6.711527,           -3.419294,            7.153658,            4.651983,
                 174,           -4.491791,            4.297509,            0.507723,            2.450908,           -2.845266,           -4.390510,           14.601646,          -12.203321,           -7.610115,           -2.046724,            1.047920,            7.646969,           -3.056224,            1.409772,            2.264183,           10.814309,           -8.604901,          -12.231249,           -2.248191,           -0.126110,            2.928368,           -4.623065,           -3.022529,            8.483603,            0.044532,
                 175,           -4.388009,            4.859485,           -0.970566,            8.308206,           -8.391248,           -3.167996,           -0.932256,            1.244592,           -4.618834,            0.458168,           -7.447512,           12.303142,           -4.151046,            5.664464,           -1.341038,            9.388865,           -9.621477,           -8.585588,           -2.304932,            0.171336,           -0.220885,           -3.714666,           -3.542759,            6.200504,            3.467240,
                 176,           -6.276724,            5.732538,            2.323471,            3.873808,           -3.792669,           -4.104320,           10.951432,           -7.986906,           -9.525009,           -7.647349,            6.384951,           13.190723,           -2.800516,            1.188725,            1.879473,           12.939793,           -9.945442,          -15.899786,           -1.530179,            0.711706,           -1.006850,           -3.226069,           -4.440671,            6.214595,            2.544630,
                 177,           -5.465341,            5.596117,            0.754610,            7.333605,           -7.587263,           -3.865862,            5.326330,           -4.150378,           -8.913712,           -2.374208,           -0.337759,            9.313704,           -6.180140,            3.865705,            5.756229,            9.703652,          -12.478574,           -6.744607,            1.014093,            1.317979,           -0.237182,           -5.961087,           -4.145370,            7.503573,            4.757139,
                 178,           -0.729249,            0.740200,           -0.996868,            3.681203,           -3.630277,           -6.144712,           11.095608,          -10.277540,           -0.380330,           -3.233402,            1.721358,            8.950754,           -4.939744,            5.579218,            1.472684,           11.464768,           -6.517762,          -17.138486,           -2.194420,            0.565783,            2.770510,           -6.125289,           -2.389969,            8.593441,           -0.762951,
                 179,           -4.614871,            4.331992,           -0.243971,            9.604844,           -9.414559,           -2.821141,           10.429400,           -8.074646,           -2.958761,           -7.592710,            7.787855,           11.298011,           -3.805401,            2.678462,            2.371241,           17.805719,          -24.999229,           -7.206246,            3.638117,            3.540683,           -2.499225,           -8.298579,           -2.564886,            4.443944,           -2.160549,
                 180,            1.897222,           -2.229117,            2.175729,           10.978882,          -11.423280,           -2.880063,            8.754484,           -5.839579,          -10.659106,           -6.189131,            3.763863,           12.928266,           -5.923107,            4.153104,            5.286698,            2.087212,           -0.131356,           -4.309374,            1.071344,            2.271194,           -1.012065,           -6.649313,           -4.360734,            7.031175,            1.060326,
                 181,           -6.113236,            6.392002,            0.767397,           13.718141,          -13.668328,           -3.100738,           -0.480100,            0.905459,           -9.424172,            0.667108,           -4.245301,            7.464812,           -1.843461,            6.122673,           -5.633252,            8.664223,           -2.927120,          -15.172795,            0.127503,            3.397244,           -1.677228,           -9.987890,           -4.896984,            5.536232,            8.842907,
                 182,           -1.234687,            1.262801,            0.633131,            8.806133,           -8.704062,           -3.731548,            4.380763,           -3.807865,           -5.140996,           -0.966383,            2.696284,            3.034071,           -0.195832,            0.093198,           -2.487318,           12.453284,           -6.435992,          -19.211175,           -0.066995,            2.084019,           -0.571559,           -7.148521,           -4.052405,            6.067394,            3.774517,
                 183,           -2.951796,            2.836925,           -0.368752,            9.126561,           -8.982490,           -4.290147,           10.514278,           -9.638231,           -4.091415,           -4.670522,            5.004313,            8.706516,           -0.383017,           -1.127715,           -0.328875,            8.808488,           -6.414798,          -10.335283,           -0.223354,            2.422900,            2.223727,           -9.999896,           -2.405586,            6.583579,            1.753536,
                 184,           -3.910770,            3.507118,            0.772991,            4.181013,           -4.308423,           -3.119685,            8.822777,           -6.048180,           -7.892970,          -10.866056,           11.720260,           13.915377,           -6.970943,            4.868790,            6.580933,           -2.310358,            8.725866,           -4.232600,           -1.600247,            0.343531,            0.162233,           -3.247467,           -3.163150,            5.915883,            1.212584,
                 185,           -3.809220,            3.868551,           -0.311253,           14.148768,          -14.042650,           -5.536554,            4.701034,           -3.691772,           -7.524689,           -3.219270,            0.656992,           10.021837,           -7.438796,            9.659062,            1.973654,            4.650252,           -3.629534,           -6.123463,           -6.565189,           -1.013681,            4.010886,           -5.074217,           -2.839810,            8.203116,            4.852607,
                 186,           -0.720102,            0.668406,           -2.241604,            3.847736,           -4.299671,            7.530659,            1.769145,            2.754637,          -12.061344,           -4.617393,            7.402738,            6.168165,           -7.292682,           -5.221253,           20.419886,           11.848712,            2.460481,          -25.303561,           -7.732423,            1.863202,           -7.977514,           -3.415188,           -1.043137,           -3.925750,           -1.121627,
                 187,           -2.833760,            3.016599,            0.079543,           14.552383,          -14.822397,           -3.249204,            5.098362,           -4.136806,           -6.112278,           -3.712835,            0.675537,           11.141924,           -6.665084,           11.091749,           -1.369909,            5.255341,           -4.264140,           -6.795659,           -1.394368,            0.755192,            0.636143,           -5.051875,           -3.775403,            6.802319,            3.113835,
                 188,            0.600521,           -0.725855,            1.050137,            9.616896,           -9.807223,           -2.592640,           10.020790,           -8.111375,           -6.015783,           -3.884233,            4.036543,            7.833775,           -2.937251,            1.996279,            1.459809,            7.369226,           -4.449435,          -10.229900,           -2.445756,           -0.275277,           -2.215333,           -0.325088,           -3.911064,            5.761084,           -0.071939,
                 189,           -2.220380,            2.041980,            0.237138,            5.374774,           -5.172681,           -5.109062,           -4.506821,            5.970685,           -5.779212,           -7.482086,           10.690794,            7.628723,            3.004703,          -14.171499,            7.429333,           11.549787,           -4.308858,          -18.879188,           -3.131107,            0.453802,            1.982812,           -5.733237,           -2.992026,            7.182163,            2.414283,
                 190,           -4.423851,            4.061489,            1.375361,            7.824384,           -7.864022,           -4.361999,            9.253313,           -6.608577,           -8.660549,           -5.696270,            4.747339,           10.919048,           -2.908457,            1.189381,            1.956736,            6.090350,           -2.044165,          -10.501682,           -4.471988,           -1.752556,            0.621751,            0.527498,           -3.587045,            7.166394,            1.091654,
                 191,           -5.379604,            5.313193,            1.425868,           11.983165,          -11.921497,           -5.003414,            6.394462,           -5.306761,           -7.319487,           -8.900091,            7.831092,           14.348142,           -4.835534,            5.233964,            1.185858,            3.740598,           -3.288758,           -4.326303,           -1.657855,            1.613387,            1.020494,           -7.366504,           -4.451903,            7.805171,            3.740571,
                 192,           -2.006337,            2.212888,           -2.263851,           13.917569,          -14.086954,           -4.694197,            9.585817,           -7.827387,           -7.801144,           -7.644467,            6.086881,           13.284215,            6.740258,          -15.110825,            0.816259,           12.200540,          -13.443260,           -9.614508,           -6.706178,           -1.731590,            4.999926,           -4.546390,           -1.368696,            8.093553,            3.502409,
                 193,           -2.069084,            2.036580,            1.107878,           14.121729,          -14.001114,           -3.163184,            3.370526,           -3.167326,           -5.950956,           -4.598557,            3.198694,            9.689511,           -3.167800,            0.782218,            3.440091,            9.333202,          -12.411310,           -5.608500,            1.095079,            1.037552,           -0.052344,           -3.876959,           -4.361438,            5.292964,            5.452065,
                 194,           -4.880316,            5.451291,           -2.740990,            8.114432,           -8.475732,           -5.776395,           10.228513,           -8.891187,           -1.052901,           -4.572077,            3.196352,            9.744343,           -3.522733,           11.287096,           -8.209689,            7.893938,           -8.118948,           -8.720690,           -5.964388,           -0.119892,            2.408586,           -6.730850,           -2.028149,            9.929466,           -2.454940,
                 195,           -7.445137,            7.375682,            2.505397,            5.436858,           -5.925749,           -4.584177,            4.467645,           -2.273592,           -7.400454,           -2.200325,           -0.001562,            8.845283,            0.804874,           -6.862007,            3.778434,           14.188353,          -21.958484,           -4.760608,           -4.213322,           -1.947612,           -1.758364,            2.898314,           -5.544601,            8.881537,            0.050229,
                 196,           -4.862355,            5.281491,           -0.300387,            5.222372,           -5.306063,           -5.043522,            7.323729,           -6.628866,           -4.194237,           -3.201302,           -0.637497,           11.718845,           -8.074153,           13.455590,           -1.641636,            4.602203,           -1.315981,           -8.589265,           -4.804751,           -0.982069,            0.023589,           -1.789632,           -4.075982,            8.145031,            2.107012,
                 197,           -5.630536,            5.655822,            1.923881,            2.369239,           -2.441540,           -2.901518,            2.321379,           -1.721747,           -6.195793,           -5.541773,            5.450952,            9.355531,            3.601279,           -8.199309,           -0.850427,            7.067106,           -5.488300,           -8.851113,            3.988850,            4.506458,           -2.626683,           -9.986793,           -5.356365,            5.777596,            3.960888,
                 198,           -0.904292,            0.778052,            1.423497,            9.561670,           -9.374915,           -4.861527,            9.523734,           -8.387702,           -5.520618,           -2.819882,           -1.371514,           11.473190,           -3.014249,            1.794043,            1.276630,            3.977620,           -3.312824,           -5.426765,           -0.589852,            1.170773,           -0.109822,           -5.121599,           -4.225878,            7.076057,            1.836885,
